EmployeeID,Age,Resigned,BusinessTravel,BusinessUnit,EducationLevel,Gender,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,AverageWeeklyHoursWorked,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInRole,YearsSinceLastPromotion,YearsWithCurrManager
2824,41,Yes,Travel_Rarely,Sales,2,Female,4,Single,5993,8,Yes,11,3,63.0,8,0,1,6,4,0,5
1409,49,No,Travel_Frequently,Consultants,1,Male,2,Married,5130,1,No,23,4,40.0,10,3,3,10,7,1,7
5506,37,Yes,Travel_Rarely,Consultants,2,Male,3,Single,2090,6,Yes,15,3,50.0,7,3,3,0,0,0,0
5012,33,No,Travel_Frequently,Consultants,4,Female,3,Married,2909,1,Yes,11,3,48.0,8,3,3,8,7,3,0
4657,27,No,Travel_Rarely,Consultants,1,Male,2,Married,3468,9,No,12,3,40.0,6,3,3,2,2,2,2
3286,32,No,Travel_Frequently,Consultants,2,Male,4,Single,3068,0,No,13,3,40.0,8,2,2,7,7,3,6
2679,59,No,Travel_Rarely,Consultants,3,Female,1,Married,2670,4,Yes,20,4,52.0,12,3,2,1,0,0,0
9935,30,No,Travel_Rarely,Consultants,1,Male,3,Divorced,2693,1,No,22,4,40.0,1,2,3,1,0,0,0
2424,38,No,Travel_Frequently,Consultants,3,Male,3,Single,9526,0,No,21,4,40.0,10,2,3,9,7,1,8
7912,36,No,Travel_Rarely,Consultants,3,Male,3,Married,5237,6,No,13,3,40.0,17,3,2,7,7,7,7
1520,35,No,Travel_Rarely,Consultants,3,Male,2,Married,2426,0,No,13,3,40.0,6,5,3,5,4,0,3
1488,29,No,Travel_Rarely,Consultants,2,Female,3,Single,4193,0,Yes,12,3,48.0,10,3,3,9,5,0,8
2535,31,No,Travel_Rarely,Consultants,1,Male,3,Divorced,2911,1,No,17,3,40.0,5,1,2,5,2,4,3
4582,34,No,Travel_Rarely,Consultants,2,Male,4,Divorced,2661,0,No,11,3,40.0,3,2,3,2,2,1,2
4811,28,Yes,Travel_Rarely,Consultants,3,Male,3,Single,2028,5,Yes,14,3,50.0,6,4,3,4,2,0,3
9279,29,No,Travel_Rarely,Consultants,4,Female,1,Divorced,9980,1,No,11,3,40.0,10,1,3,10,9,8,8
1434,32,No,Travel_Rarely,Consultants,2,Male,2,Divorced,3298,0,Yes,12,3,51.0,7,5,2,6,2,0,5
4257,22,No,Non-Travel,Consultants,2,Male,4,Divorced,2935,1,Yes,13,3,54.0,1,2,2,1,0,0,0
9928,53,No,Travel_Rarely,Sales,4,Female,4,Married,15427,2,No,16,3,40.0,31,3,3,25,8,3,7
7873,38,No,Travel_Rarely,Consultants,3,Male,4,Single,3944,5,Yes,11,3,47.0,6,3,3,3,2,1,2
4611,24,No,Non-Travel,Consultants,2,Female,3,Divorced,4011,0,No,18,3,40.0,5,5,2,4,2,1,3
8359,36,Yes,Travel_Rarely,Sales,4,Male,1,Single,3407,7,No,23,4,40.0,10,4,3,5,3,0,3
5557,34,No,Travel_Rarely,Consultants,4,Female,2,Single,11994,0,No,11,3,40.0,13,4,3,12,6,2,11
1106,21,No,Travel_Rarely,Consultants,2,Male,4,Single,1232,1,No,14,3,40.0,0,6,3,0,0,0,0
3615,34,Yes,Travel_Rarely,Consultants,1,Male,1,Single,2960,2,No,11,3,40.0,8,2,3,4,2,1,3
7924,53,No,Travel_Rarely,Consultants,3,Female,3,Divorced,19094,4,No,11,3,40.0,26,3,2,14,13,4,8
6574,32,Yes,Travel_Frequently,Consultants,1,Female,1,Single,3919,1,Yes,22,4,53.0,10,5,3,10,2,6,7
5552,42,No,Travel_Rarely,Sales,4,Male,2,Married,6825,0,No,11,3,40.0,10,2,3,9,7,4,2
3547,44,No,Travel_Rarely,Consultants,4,Female,4,Married,10248,3,No,14,3,40.0,24,4,3,22,6,5,17
4527,46,No,Travel_Rarely,Sales,4,Female,1,Single,18947,3,No,12,3,40.0,22,2,2,2,2,2,1
6514,33,No,Travel_Rarely,Consultants,3,Male,4,Single,2496,4,No,11,3,40.0,7,3,3,1,1,0,0
2674,44,No,Travel_Rarely,Consultants,4,Male,4,Married,6465,2,Yes,13,3,46.0,9,5,4,4,2,1,3
2519,30,No,Travel_Rarely,Consultants,2,Male,3,Single,2206,1,No,13,3,40.0,10,5,3,10,0,1,8
7224,39,Yes,Travel_Rarely,Sales,3,Male,4,Married,2086,3,No,14,3,40.0,19,6,4,1,0,0,0
2584,24,Yes,Travel_Rarely,Consultants,3,Male,4,Married,2293,2,Yes,16,3,52.0,6,2,2,2,0,2,0
6881,43,No,Travel_Rarely,Consultants,2,Female,3,Divorced,2645,1,No,12,3,40.0,6,3,2,5,3,1,4
6635,50,Yes,Travel_Rarely,Sales,2,Male,3,Married,2683,1,Yes,14,3,50.0,3,2,3,3,2,0,2
5333,35,No,Travel_Rarely,Sales,3,Female,4,Married,2014,1,No,13,3,40.0,2,3,3,2,2,2,2
1711,36,No,Travel_Rarely,Consultants,4,Female,1,Married,3419,9,Yes,14,3,45.0,6,3,4,1,1,0,0
8527,33,No,Travel_Frequently,Sales,3,Female,1,Married,5376,2,No,19,3,40.0,10,3,3,5,3,1,3
9785,35,No,Travel_Rarely,Consultants,2,Male,4,Divorced,1951,1,No,12,3,40.0,1,3,3,1,0,0,0
3045,27,No,Travel_Rarely,Consultants,4,Female,1,Divorced,2341,1,No,13,3,40.0,1,6,3,1,0,0,0
7201,26,Yes,Travel_Rarely,Consultants,3,Male,3,Single,2293,1,No,12,3,40.0,1,2,2,1,0,0,1
2291,27,No,Travel_Frequently,Sales,3,Male,3,Single,8726,1,No,15,3,40.0,9,0,3,9,8,1,7
5803,30,No,Travel_Frequently,Consultants,2,Female,4,Single,4011,1,No,23,4,40.0,12,2,3,12,8,3,7
6925,41,Yes,Travel_Rarely,Consultants,3,Female,3,Married,19545,1,No,12,3,40.0,23,0,3,22,15,15,8
4150,34,No,Non-Travel,Sales,4,Male,3,Single,4568,0,No,20,4,40.0,10,2,3,9,5,8,7
2139,37,No,Travel_Rarely,Consultants,2,Male,2,Married,3022,4,No,21,4,40.0,8,1,3,1,0,0,0
1750,46,No,Travel_Frequently,Sales,4,Male,4,Single,5772,4,Yes,21,4,48.0,14,4,3,9,6,0,8
4733,35,No,Travel_Rarely,Consultants,1,Male,4,Married,2269,1,No,19,3,40.0,1,2,3,1,0,0,1
5741,48,Yes,Travel_Rarely,Consultants,2,Male,3,Single,5381,9,Yes,13,3,51.0,23,2,3,1,0,0,0
2307,28,Yes,Travel_Rarely,Consultants,4,Male,3,Single,3441,1,Yes,13,3,56.0,2,3,2,2,2,2,2
4814,44,No,Travel_Rarely,Sales,5,Female,1,Divorced,5454,5,Yes,21,4,55.0,9,2,2,4,3,1,3
2654,35,No,Non-Travel,Consultants,2,Male,1,Married,9884,2,Yes,13,3,47.0,10,3,3,4,0,2,3
7227,26,No,Travel_Rarely,Sales,3,Female,4,Married,4157,7,Yes,19,3,54.0,5,2,2,2,2,0,0
5554,33,No,Travel_Frequently,Consultants,2,Female,4,Single,13458,1,Yes,12,3,48.0,15,1,3,15,14,8,12
8428,35,No,Travel_Frequently,Sales,5,Male,1,Married,9069,1,No,22,4,40.0,9,3,2,9,8,1,8
6977,35,No,Travel_Rarely,Consultants,4,Female,1,Married,4014,3,Yes,15,3,49.0,4,3,3,2,2,2,2
3664,31,No,Travel_Rarely,Consultants,4,Male,4,Divorced,5915,3,No,22,4,40.0,10,3,2,7,7,1,7
7065,37,No,Travel_Rarely,Consultants,4,Male,3,Divorced,5993,1,No,18,3,40.0,7,2,4,7,5,0,7
6820,32,No,Travel_Rarely,Consultants,3,Male,4,Married,6162,1,Yes,22,4,49.0,9,3,3,9,8,7,8
4432,38,No,Travel_Frequently,Consultants,5,Female,4,Single,2406,1,No,11,3,40.0,10,2,3,10,3,9,9
5374,50,No,Travel_Rarely,Consultants,2,Female,3,Divorced,18740,5,Yes,12,3,52.0,29,2,2,27,3,13,8
2169,59,No,Travel_Rarely,Sales,3,Female,1,Single,7637,7,No,11,3,40.0,28,3,2,21,16,7,9
3803,36,No,Travel_Rarely,Consultants,3,Female,3,Divorced,10096,1,No,13,3,40.0,17,2,3,17,14,12,8
9751,55,No,Travel_Rarely,Consultants,3,Female,3,Divorced,14756,2,Yes,14,3,49.0,21,2,3,5,0,0,2
5010,36,No,Travel_Frequently,Consultants,3,Male,2,Single,6499,1,No,13,3,40.0,6,3,3,6,5,0,3
3677,45,No,Travel_Rarely,Consultants,3,Male,1,Divorced,9724,2,No,17,3,40.0,25,2,3,1,0,0,0
8573,35,No,Travel_Frequently,Consultants,3,Male,1,Married,2194,4,No,13,3,40.0,5,2,2,3,2,1,2
7216,36,Yes,Travel_Rarely,Consultants,3,Male,3,Married,3388,0,Yes,17,3,57.0,2,0,2,1,0,0,0
5422,59,No,Travel_Frequently,Sales,1,Female,3,Single,5473,7,No,11,3,40.0,20,2,2,4,3,1,3
4598,29,No,Travel_Rarely,Consultants,3,Male,2,Married,2703,0,No,23,4,40.0,6,3,3,5,4,0,4
6313,31,No,Travel_Rarely,Consultants,4,Male,2,Single,2501,1,No,17,3,40.0,1,4,3,1,1,1,0
1916,32,No,Travel_Rarely,Consultants,3,Male,2,Married,6220,1,No,17,3,40.0,10,3,3,10,4,0,9
4752,36,No,Travel_Rarely,Consultants,3,Female,4,Married,3038,3,No,12,3,40.0,5,3,3,1,0,0,0
1525,31,No,Travel_Rarely,Consultants,4,Female,4,Single,4424,1,No,23,4,40.0,11,2,3,11,7,1,8
6168,35,No,Travel_Rarely,Sales,4,Male,1,Single,4312,0,No,14,3,40.0,16,2,3,15,13,2,8
7572,45,No,Travel_Rarely,Consultants,4,Male,1,Married,13245,4,Yes,14,3,46.0,17,3,4,0,0,0,0
5386,37,No,Travel_Rarely,Consultants,4,Male,3,Single,13664,4,No,13,3,40.0,16,3,4,5,2,0,2
2084,46,No,Travel_Rarely,Business Operations,2,Male,2,Divorced,5021,8,Yes,22,4,47.0,16,2,3,4,2,0,2
4456,30,No,Travel_Rarely,Consultants,1,Male,4,Married,5126,1,Yes,12,3,51.0,10,1,2,10,8,3,0
6155,35,No,Travel_Rarely,Consultants,3,Male,3,Single,2859,1,No,18,3,40.0,6,3,3,6,4,0,4
4483,55,No,Travel_Rarely,Sales,2,Male,4,Married,10239,3,No,14,3,40.0,24,4,3,1,0,1,0
